91117	218	36.93	256	49.57	986.1
91117	224	9999	9999	9999	9999
91117	230	35.18	257	42.76	986.7
91117	236	33.05	255	41.02	987.1
91117	242	32.07	252	39.65	987.4
91117	248	31.88	252	47.04	987.7
91117	254	31.68	254	42.76	988
91117	300	32.07	249	39.85	988.3
91117	306	33.24	249	39.07	988.7
91117	312	34.02	250	41.4	989
91117	318	34.79	245	42.76	989.3
91117	324	36.54	244	44.51	989.5
91117	330	37.71	242	42.76	989.7
91117	336	35.96	240	43.93	990
91117	342	9999	9999	9999	9999
91117	348	40.43	242	46.85	990.5
91117	354	37.32	240	45.29	990.9
91117	400	36.35	241	46.07	991.1
91117	406	38.49	242	47.24	991.4
91117	412	39.65	241	48.4	991.7
91117	418	38.88	239	47.04	991.8
91117	424	41.4	236	48.4	992.1
91117	430	42.38	229	47.62	992.3
91117	436	37.52	232	47.82	992.5
91117	442	37.52	230	46.65	992.7
91117	448	39.07	228	48.21	992.9
91117	454	41.99	229	50.73	993.3
91117	500	33.82	228	48.98	993.6
91117	506	39.85	229	47.82	993.8
91117	512	38.29	231	47.43	994
91117	518	39.46	227	48.21	994.2
91117	524	35.77	231	46.46	994.4
91117	530	39.27	232	45.49	994.7
91117	536	9999	9999	9999	9999
91117	542	39.46	227	45.29	995
91117	548	36.74	227	46.65	995.2
91117	554	37.71	230	49.57	995.5
91117	600	34.02	230	44.32	995.6
91117	606	35.77	231	44.32	995.9
91117	612	34.6	232	41.02	996.1
91117	618	33.43	235	41.4	996.4
91117	624	31.88	238	40.24	996.4
91117	630	28.57	238	36.93	996.6
91117	636	29.35	239	35.96	996.6
91117	642	30.91	232	36.16	996.7
91117	648	31.49	239	37.52	996.8
91117	654	31.1	235	39.46	997.1
91117	700	36.35	226	42.38	997.4
91117	706	29.35	234	37.9	997.5
91117	712	34.6	236	38.88	997.4
91117	718	9999	9999	9999	9999
91117	724	35.77	236	41.21	997.9
91117	730	31.49	228	39.65	997.8
91117	736	28.77	214	36.93	997.5
91117	742	31.1	218	36.54	997.7
91117	748	29.35	224	35.18	997.8
91117	754	28.19	220	35.18	997.8
91117	800	27.99	223	35.18	998
91117	806	26.82	225	33.24	998.1
91117	812	27.8	223	32.85	998.1
91117	818	25.85	231	32.46	998.2
91117	824	26.24	225	32.85	998.2
91117	830	27.6	220	31.3	998.3
91117	836	25.46	220	30.91	998.5
91117	842	25.66	221	31.68	998.5
91117	848	25.66	223	30.71	998.7
91117	854	25.46	221	32.66	998.8
91117	900	26.44	219	30.71	999
91117	906	25.85	218	31.68	999.1
91117	912	27.99	219	31.49	999.2
91117	918	9999	9999	9999	9999
91117	924	26.24	224	30.91	999.6
91117	930	25.46	225	29.74	999.7
91117	936	26.44	227	29.55	999.8
91117	942	21.38	221	28.19	999.9
91117	948	25.46	221	29.35	999.9
91117	954	25.08	225	29.16	1000
91117	1000	24.49	218	27.41	1000.2
91117	1006	25.27	222	30.52	1000.3
91117	1012	25.27	219	30.71	1000.4
91117	1018	24.88	221	28.96	1000.5
91117	1024	23.33	227	28.38	1000.7
91117	1030	23.52	222	29.16	1000.7
91117	1036	23.52	216	26.82	1000.8
91117	1042	22.74	217	27.41	1000.9
91117	1048	23.33	220	28.96	1001.1
91117	1054	21.38	224	28.19	1001.2
91117	1100	23.33	224	28.19	1001.4
91117	1106	24.1	227	27.6	1001.5
91117	1112	21.58	227	26.82	1001.6
91117	1118	22.74	226	25.08	1001.7
91117	1124	21.38	225	26.44	1001.8
91117	1130	18.66	228	26.44	1001.9
91117	1136	21.19	223	23.91	1001.9
91117	1142	19.83	225	23.91	1002.1
91117	1148	19.05	226	24.1	1002.2
91117	1154	16.91	224	20.99	1002.3
91117	1200	20.99	222	23.33	1002.3
