91418	800	37.13	318	53.84	76.5	977
91418	806	34.99	319	60.06	76.8	976.9
91418	812	37.9	316	58.51	77	976.6
91418	818	38.1	322	53.26	77	976
91418	824	36.93	317	51.51	77.2	975.3
91418	830	41.21	318	60.26	77.2	975
91418	836	43.54	317	57.54	77.2	974.1
91418	842	42.57	318	56.18	77	973.2
91418	848	42.38	317	64.15	76.1	973.1
91418	854	42.76	321	64.73	76.1	973
91418	900	39.46	322	59.68	76.3	972.7
91418	906	42.76	320	58.51	76.3	971.3
91418	912	46.07	316	62.59	75.9	970.8
91418	918	40.82	324	63.17	76.1	970.1
91418	924	43.15	320	63.56	75.7	969.4
91418	930	43.15	320	69.01	75.6	968.3
91418	936	52.48	317	68.62	75.6	967.2
91418	942	46.46	318	66.09	75.6	966.7
91418	948	48.21	319	67.65	75.6	965.6
91418	954	51.51	316	73.48	75.6	964.7
91418	1000	48.98	315	75.42	75.7	962.6
91418	1006	50.93	318	66.09	75.7	961.5
91418	1012	49.57	328	69.01	76.1	961
91418	1018	51.12	334	66.87	77	960.8
91418	1024	43.35	342	66.48	77.2	961.7
91418	1030	48.4	331	60.06	77.5	961
91418	1036	42.96	348	57.15	78.3	959.2
91418	1042	36.93	347	53.84	77.9	960.2
91418	1048	23.71	342	47.24	78.6	959.3
91418	1054	20.02	10	27.8	79.5	959.4
91418	1100	8.75	6	16.52	79.2	959.3
91418	1106	17.3	64	19.83	81.1	959.8
91418	1112	29.16	78	31.68	79.9	960.4
91418	1118	30.91	55	36.93	79.9	959.8
91418	1124	25.08	94	29.35	80.1	960.7
91418	1130	32.66	82	41.21	79.9	961.5
91418	1136	42.96	84	49.37	79.3	962.9
91418	1142	47.62	76	55.98	79.2	964.1
91418	1148	47.82	76	58.7	79.2	964.9
91418	1154	50.93	76	59.87	79	966
91418	1200	55.59	77	65.12	78.6	966.7
91418	1206	51.51	82	61.04	78.4	968.1
91418	1212	51.32	81	59.29	79	969.3
91418	1218	51.32	79	60.45	78.8	970.5
91418	1224	52.09	76	64.73	79	971.1
91418	1230	51.32	75	61.62	79	971.9
91418	1236	48.4	76	61.04	79.2	972.5
91418	1242	50.93	76	61.43	79.3	973.3
91418	1248	51.12	76	58.7	79.5	973.8
91418	1254	48.01	77	58.32	79.3	974.3
91418	1300	48.01	75	55.4	79.5	974.7
